Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
37,4.8,Drinks ,motorcycle ,26,6.2090211015908885
33,5.0,Snack ,scooter ,18,1.5203447230031488
31,4.9,Snack ,motorcycle ,16,6.037225391650279
31,4.8,Drinks ,scooter ,23,17.07866549839683
25,5.0,Snack ,motorcycle ,15,4.717601091891188
28,4.8,Drinks ,motorcycle ,36,12.464329297707241
31,4.7,Snack ,motorcycle ,16,9.121425982313314
24,4.7,Buffet ,motorcycle ,19,14.023232082720508
39,4.6,Snack ,motorcycle ,27,13.392612276727156
39,4.2,Snack ,scooter ,49,12.580267821997444
32,4.5,Buffet ,scooter ,20,1.4899271609179632
36,4.7,Snack ,motorcycle ,30,9.435201537090277
25,4.8,Drinks ,scooter ,18,11.916582838503926
33,4.9,Drinks ,scooter ,22,4.663566688324014
30,4.4,Drinks ,scooter ,34,10.641157729550386
33,5.0,Buffet ,motorcycle ,24,16.81836892381155
36,4.9,Drinks ,scooter ,17,6.128551257559438
21,4.8,Meal ,electric_scooter ,14,2.9962500369300917
39,4.9,Meal ,motorcycle ,30,7.342175723006573
23,4.8,Meal ,scooter ,15,3.1450674360287563
35,4.8,Buffet ,scooter ,16,6.290134677517525
39,4.6,Snack ,scooter ,36,13.972123977196551
22,4.7,Buffet ,scooter ,18,6.0814407963969375
32,4.6,Meal ,scooter ,17,6.080891508015064
24,4.8,Buffet ,motorcycle ,15,12.580267821997444
29,4.7,Buffet ,motorcycle ,17,3.1450674360287563
29,4.6,Drinks ,scooter ,19,6.210589610131653
26,4.7,Buffet ,motorcycle ,10,9.22037306742154
20,4.5,Drinks ,motorcycle ,27,7.86266816742606
35,4.1,Buffet ,motorcycle ,37,13.969606427755293
39,4.6,Drinks ,scooter ,44,13.97320677286867
34,4.7,Drinks ,electric_scooter ,28,6.058853850930428
27,4.7,Snack ,scooter ,42,17.077992872233107
30,4.8,Snack ,motorcycle ,25,17.29786575292793
25,4.4,Snack ,scooter ,39,17.07287190646893
25,4.7,Meal ,motorcycle ,20,16.81836892381155
30,5.0,Buffet ,motorcycle ,31,2.979502850905299
24,4.6,Buffet ,motorcycle ,13,9.220865974524658
39,4.8,Meal ,motorcycle ,28,7.66133113407312
25,4.8,Snack ,scooter ,19,6.1755160935915825
37,4.6,Buffet ,motorcycle ,42,12.209856561162741
24,5.0,Drinks ,motorcycle ,23,1.552681310769214
25,4.2,Meal ,motorcycle ,39,16.902806732553017
32,4.6,Drinks ,motorcycle ,25,1.5093577683453798
34,4.7,Drinks ,scooter ,15,6048.631240095336
38,4.9,Drinks ,scooter ,15,3.0251186399799264
36,4.8,Buffet ,electric_scooter ,15,13.40709269306037
25,5.0,Meal ,motorcycle ,15,16.721976049018803
29,5.0,Drinks ,motorcycle ,18,7.7723435946264585
36,4.7,Drinks ,electric_scooter ,29,13.77373765746021
33,4.7,Snack ,motorcycle ,20,7.790158927353353
36,4.4,Meal ,scooter ,39,6.217834398624596
21,4.8,Snack ,motorcycle ,19,16.85283488150314
25,4.8,Snack ,scooter ,19,4.610035603064676
23,4.8,Meal ,motorcycle ,17,19.87987067718165
25,4.6,Snack ,motorcycle ,15,1.5580833953450741
24,4.3,Meal ,motorcycle ,19,3.0253327049489274
27,4.6,Buffet ,motorcycle ,29,13.971948960177455
23,4.8,Snack ,scooter ,22,16.83090555193195
21,4.3,Drinks ,scooter ,42,20.20779793322568
27,4.7,Snack ,scooter ,12,3.0406416218155385
32,4.2,Snack ,motorcycle ,38,20.253785359404407
25,4.6,Drinks ,motorcycle ,23,16.721296009800305
39,4.7,Meal ,scooter ,15,2.984550791155348
27,4.6,Snack ,motorcycle ,24,12.161450531640238
39,3.8,Drinks ,motorcycle ,37,16.82215560890587
31,4.8,Snack ,scooter ,24,7.762556904465335
31,4.8,Buffet ,electric_scooter ,13,9.05585516169647
20,4.8,Drinks ,motorcycle ,16,1.5545816600112803
36,4.9,Drinks ,motorcycle ,42,12.074047498116075
20,4.9,Meal ,motorcycle ,17,13.58037387638423
24,4.6,Drinks ,motorcycle ,25,4.469620874191723
29,4.6,Snack ,electric_scooter ,25,16.659838318821436
39,4.2,Snack ,scooter ,39,16.63487011829542
37,4.8,Meal ,scooter ,18,6.23213948584345
32,4.9,Drinks ,motorcycle ,28,6.2090211015908885
22,4.5,Drinks ,scooter ,18,7.460830126995147
23,4.9,Meal ,scooter ,18,20.253785359404407
33,4.7,Snack ,scooter ,49,16.60097570050304
23,4.6,Drinks ,motorcycle ,15,4.540321372089261
27,4.6,Drinks ,motorcycle ,21,12.421212736022733
34,4.7,Snack ,scooter ,23,6.11871184648133
26,5.0,Meal ,scooter ,11,1.5204319461322358
31,4.6,Snack ,motorcycle ,25,9.087972745005358
32,4.9,Snack ,motorcycle ,18,3.0644871051780633
27,4.7,Buffet ,motorcycle ,14,3.0251443288143434
21,4.9,Drinks ,motorcycle ,36,13.97320677286867
28,4.8,Drinks ,motorcycle ,18,7.763102784636035
24,4.9,Meal ,scooter ,17,6.290134677517525
33,4.4,Snack ,motorcycle ,28,1.5368503802873277
20,4.6,Buffet ,motorcycle ,44,13.97317756175675
31,4.3,Snack ,motorcycle ,20,9.348403522152072
29,4.6,Snack ,scooter ,19,4.596576884074512
36,5.0,Snack ,motorcycle ,35,10.602467987636457
31,4.2,Meal ,motorcycle ,50,17.076258901135645
39,4.1,Meal ,scooter ,34,9.220834607405523
29,4.6,Meal ,electric_scooter ,17,12.161605445658722
29,4.6,Snack ,scooter ,23,6.0808829671966205
37,4.9,Buffet ,motorcycle ,27,4.674143698854785
33,4.7,Snack ,motorcycle ,26,6.290134677517525
31,3.9,Buffet ,scooter ,35,10.709003371378817
37,4.6,Drinks ,motorcycle ,41,6.290134677517525
26,4.4,Buffet ,motorcycle ,23,9.314884732620712
24,4.6,Snack ,motorcycle ,30,17.137482577885528
23,4.8,Buffet ,scooter ,19,3.1450674360287563
36,4.9,Buffet ,scooter ,27,1.5725337268149235
39,4.8,Snack ,motorcycle ,28,6.2180023477501365
20,4.7,Drinks ,motorcycle ,24,12.463883024165233
20,5.0,Meal ,motorcycle ,36,20.20658151054029
29,4.3,Buffet ,motorcycle ,28,9.08111643236461
36,4.8,Drinks ,motorcycle ,31,17.138077427255226
36,4.0,Meal ,motorcycle ,44,13.631343697769548
22,4.8,Drinks ,scooter ,15,12.07406309077521
38,4.4,Buffet ,motorcycle ,33,10.723264171926836
39,4.9,Buffet ,motorcycle ,30,7.600994631279559
24,4.9,Snack ,scooter ,22,7.562982485384911
30,4.1,Snack ,motorcycle ,43,11.007734763484695
35,4.8,Meal ,motorcycle ,48,13.829314445336752
33,4.5,Drinks ,electric_scooter ,19,13.969116967384432
39,4.7,Snack ,motorcycle ,21,10.923267458007562
31,4.3,Drinks ,motorcycle ,44,12.117036431967307
37,4.5,Drinks ,scooter ,26,1.5525704155220637
37,4.7,Buffet ,scooter ,26,4.663566688324014
33,5.0,Meal ,motorcycle ,31,1.5294972210567728
24,4.6,Meal ,scooter ,19,9.435201537090277
33,4.5,Snack ,scooter ,18,11.916757258712071
39,4.7,Meal ,motorcycle ,38,10.486117701657172
37,4.6,Snack ,motorcycle ,32,13.583078662253776
25,4.9,Meal ,scooter ,17,7.683191405134032
28,4.8,Buffet ,scooter ,11,9.193093962937311
38,4.7,Buffet ,motorcycle ,31,6.2178836471546735
29,4.6,Drinks ,motorcycle ,43,10.427235658128273
31,4.6,Meal ,motorcycle ,25,9.326872528866826
25,4.8,Snack ,motorcycle ,22,9.179538450301443
35,4.9,Drinks ,motorcycle ,43,10.88065184832894
39,4.7,Buffet ,motorcycle ,42,10.565262855256629
38,3.9,Meal ,motorcycle ,42,12.100062421112627
35,4.7,Drinks ,motorcycle ,34,4.657159717382608
29,4.7,Snack ,motorcycle ,17,2.9812178562041445
27,4.6,Snack ,scooter ,25,4.561265633196964
38,4.3,Meal ,motorcycle ,54,13.989916877063138
36,4.9,Buffet ,motorcycle ,21,10.642288953353907
26,4.0,Buffet ,motorcycle ,34,6.1474046527332025
26,4.1,Meal ,motorcycle ,36,13.42847735785473
36,4.9,Drinks ,motorcycle ,17,9.327285157807166
21,4.7,Meal ,motorcycle ,16,1.4897929738508944
35,4.7,Meal ,electric_scooter ,27,12.418394742313998
20,4.5,Meal ,motorcycle ,26,6.21786068876229
23,4.6,Snack ,motorcycle ,46,13.787803344105049
37,5.0,Buffet ,motorcycle ,29,9.080187058987027
26,4.8,Snack ,motorcycle ,23,9.315441635056878
29,5.0,Snack ,scooter ,11,12.16141716221299
26,4.9,Snack ,motorcycle ,28,16.63687503880199
29,4.8,Meal ,motorcycle ,25,9.192951166232659
29,4.7,Snack ,motorcycle ,11,3.0182264840849005
21,4.9,Meal ,scooter ,26,4.395420246553351
22,4.3,Meal ,motorcycle ,23,3.109059104987463
31,4.0,Snack ,motorcycle ,39,11.916582838503926
20,4.5,Snack ,motorcycle ,11,3.116248510099606
30,3.9,Drinks ,electric_scooter ,32,12.116950608801538
36,4.8,Snack ,motorcycle ,43,10.868263117371317
24,4.7,Buffet ,scooter ,13,6.218153086304595
32,4.7,Buffet ,electric_scooter ,25,1.5544249771644083
25,5.0,Drinks ,motorcycle ,27,9.313017158582813
27,4.5,Drinks ,scooter ,29,6.147106623224366
32,4.1,Buffet ,motorcycle ,33,10.867300462026536
23,4.7,Drinks ,motorcycle ,19,6.209259882257505
39,4.4,Meal ,motorcycle ,33,20.180859168464167
20,4.8,Snack ,motorcycle ,28,9.435201537090277
20,4.8,Drinks ,electric_scooter ,15,11.91975598899986
29,4.6,Meal ,scooter ,29,4.494291161958919
26,4.9,Meal ,scooter ,18,20.85172635794847
25,5.0,Meal ,motorcycle ,14,1.5605734776232707
34,4.7,Snack ,motorcycle ,30,6.210589610131653
31,4.9,Snack ,motorcycle ,28,6.1752835762935225
24,4.7,Snack ,motorcycle ,39,20.4429297624716
30,4.9,Meal ,motorcycle ,30,13.830084721978729
36,4.8,Buffet ,motorcycle ,36,19.373745834648908
36,4.4,Snack ,motorcycle ,37,20.85711532397441
26,4.7,Meal ,motorcycle ,43,20.851557402508245
30,4.6,Buffet ,scooter ,29,16.65996319011248
20,4.8,Drinks ,scooter ,25,4.717601091891188
33,4.7,Buffet ,electric_scooter ,15,7.762600239937479
29,4.6,Snack ,scooter ,24,11.007734763484695
34,4.0,Snack ,motorcycle ,39,13.766855008642874
36,4.6,Buffet ,motorcycle ,20,12.293677673673026
33,4.6,Buffet ,motorcycle ,15,2.9846372705956528
22,4.8,Drinks ,motorcycle ,16,16.78827586215555
38,4.7,Drinks ,scooter ,19,1.5320227772265194
27,4.9,Drinks ,scooter ,20,12.421407858528651
32,4.8,Meal ,scooter ,25,10.44477615476828
26,4.8,Snack ,motorcycle ,43,12.420750050138528
29,4.5,Drinks ,motorcycle ,15,19.659373527401062
31,4.5,Buffet ,motorcycle ,29,12.464189804888846
28,4.6,Drinks ,motorcycle ,14,6.146243657709842
21,4.8,Buffet ,motorcycle ,11,8.929086888669556
21,4.0,Buffet ,motorcycle ,19,7.790362125420462
30,4.9,Drinks ,motorcycle ,29,12.580267821997444
29,4.7,Buffet ,motorcycle ,11,5.992096714398129
20,4.8,Snack ,motorcycle ,14,1.5297232856231069
28,5.0,Snack ,motorcycle ,15,13.73594217647009
25,4.7,Meal ,motorcycle ,16,10.705559922566456
29,4.6,Buffet ,motorcycle ,43,16.852565465169597
38,4.8,Buffet ,motorcycle ,20,3.104803752469166
39,4.9,Drinks ,motorcycle ,26,4.610073052297271
26,4.9,Snack ,scooter ,26,9.122100805773137
33,4.4,Meal ,motorcycle ,43,10.906036621886983
24,4.6,Snack ,motorcycle ,25,9.088013799097757
24,4.9,Buffet ,motorcycle ,28,6.232303379923261
33,4.5,Buffet ,scooter ,17,13.611566721969774
35,4.2,Drinks ,motorcycle ,44,13.611428630346321
27,4.2,Buffet ,motorcycle ,33,13.76389621084894
29,4.6,Snack ,scooter ,19,7.761350404777148
29,4.5,Snack ,motorcycle ,15,4.657591595025029
34,4.7,Buffet ,scooter ,27,19.34348721777232
20,4.7,Meal ,scooter ,25,2.984512558882522
29,4.8,Drinks ,motorcycle ,18,6.058876302886238
22,4.9,Snack ,scooter ,21,9.088084092531988
35,4.9,Buffet ,motorcycle ,53,10.417065790610494
32,4.4,Drinks ,motorcycle ,42,17.16483390272082
28,4.9,Snack ,motorcycle ,20,16.11387241188521
30,4.7,Meal ,scooter ,29,20.253686339608112
22,4.7,Snack ,scooter ,15,17.076258901135645
36,4.7,Buffet ,motorcycle ,30,7.790362125420462
23,4.8,Snack ,motorcycle ,28,19.76218981816624
22,4.8,Drinks ,motorcycle ,19,3.0250598103121393
29,4.5,Meal ,motorcycle ,15,19.839561441914608
34,4.9,Buffet ,motorcycle ,50,17.07559440112779
38,4.1,Buffet ,motorcycle ,41,1.55270011179015
35,5.0,Snack ,motorcycle ,37,11.007734763484695
38,4.7,Drinks ,scooter ,28,9.435201537090277
32,4.3,Meal ,scooter ,35,10.280572823313584
20,4.5,Buffet ,motorcycle ,27,10.867300462026536
25,4.9,Buffet ,motorcycle ,43,12.417687564302762
29,4.5,Meal ,scooter ,12,8.937860881702791
32,4.7,Meal ,scooter ,31,6047.919477618646
39,4.1,Drinks ,motorcycle ,39,20.4429297624716
31,4.4,Buffet ,motorcycle ,47,16.660108123661967
37,4.5,Buffet ,motorcycle ,26,7.601385733039289
36,4.9,Snack ,electric_scooter ,31,13.183763612580556
37,3.8,Snack ,motorcycle ,42,20.856833724852457
29,4.6,Meal ,scooter ,12,16612.23905461284
38,4.9,Snack ,scooter ,25,6.232373004842509
37,4.4,Drinks ,motorcycle ,39,11.904865487321148
21,4.9,Buffet ,scooter ,21,13.682164847603206
35,4.9,Meal ,electric_scooter ,18,4.469362226324224
22,4.8,Snack ,scooter ,22,13.406355455481522
28,4.8,Buffet ,motorcycle ,23,3.0736440296410366
39,4.0,Drinks ,motorcycle ,48,20.20658151054029
29,4.5,Snack ,scooter ,13,12.419724872873482
39,4.6,Drinks ,motorcycle ,32,3.1048037118295744
25,4.9,Snack ,electric_scooter ,16,20.206316416237257
34,5.0,Snack ,electric_scooter ,19,4.674151775138355
22,4.8,Drinks ,motorcycle ,18,3.1053699758088804
27,5.0,Buffet ,motorcycle ,27,10.44439086202443
28,4.5,Drinks ,motorcycle ,25,10.710903359703872
32,5.0,Drinks ,scooter ,31,4.6743931326315415
29,4.6,Drinks ,scooter ,39,16.601276790197442
27,4.6,Snack ,motorcycle ,20,10.7566978789543
35,3.9,Snack ,motorcycle ,38,12.236561539806493
22,4.6,Buffet ,motorcycle ,19,4.663658230799585
35,4.7,Drinks ,electric_scooter ,17,4.717601091891188
30,4.6,Buffet ,motorcycle ,24,1.514804896086993
39,4.8,Drinks ,scooter ,26,3.1089883286399806
33,4.8,Meal ,motorcycle ,28,9.219905581494332
20,4.7,Snack ,scooter ,16,12.256687342479019
20,4.7,Buffet ,motorcycle ,17,4.717601091891188
34,4.2,Snack ,motorcycle ,24,9.326940869442552
22,4.7,Meal ,motorcycle ,24,10.881431822897348
37,4.3,Meal ,scooter ,34,2.980249385446164
20,4.8,Snack ,motorcycle ,16,1.5302594860331515
33,4.9,Drinks ,motorcycle ,26,7.601614738224882
21,5.0,Drinks ,motorcycle ,25,19.660943947688445
33,4.6,Meal ,motorcycle ,49,10.602417764378337
24,4.6,Snack ,electric_scooter ,24,12.41960204116775
36,4.7,Meal ,scooter ,32,3.1450674360287563
30,4.6,Buffet ,motorcycle ,26,4.588898781132641
32,4.9,Buffet ,scooter ,24,13.829931792278938
28,4.6,Drinks ,electric_scooter ,16,19.97580879170046
21,4.7,Drinks ,scooter ,27,19.373745834648908
39,4.9,Drinks ,motorcycle ,25,3.0527068574504064
32,4.7,Drinks ,motorcycle ,26,3.1048037118295744
20,4.5,Buffet ,scooter ,25,9.178605956930875
29,4.6,Meal ,motorcycle ,26,4.717601091891188
36,5.0,Meal ,scooter ,15,1.4901538788703454
28,4.8,Buffet ,scooter ,18,3.1053645456033174
32,4.5,Buffet ,motorcycle ,30,7.661250453884359
39,4.4,Drinks ,scooter ,46,17.076258901135645
30,4.7,Drinks ,motorcycle ,24,16.721430138827582
32,4.4,Drinks ,motorcycle ,37,6.128419379138648
23,4.6,Snack ,motorcycle ,27,13.610877575838096
21,4.8,Buffet ,scooter ,27,6.118630885324416
31,4.2,Meal ,electric_scooter ,32,9.074342228788096
37,4.6,Buffet ,electric_scooter ,28,3.058950642065173
20,4.5,Drinks ,motorcycle ,29,7.601870282544973
28,4.5,Snack ,motorcycle ,27,1.4899271609179632
22,4.9,Snack ,motorcycle ,11,1.5545816600112803
20,4.7,Buffet ,motorcycle ,13,9.219708856326303
34,4.8,Buffet ,scooter ,27,19.61896865415944
38,4.8,Snack ,scooter ,25,6.209259882257505
29,4.6,Drinks ,scooter ,26,20.18263448828905
32,4.5,Buffet ,motorcycle ,27,6.0362441968142395
34,4.9,Snack ,scooter ,26,16.853347148168254
33,3.9,Meal ,electric_scooter ,32,13.612594236885029
34,4.5,Meal ,motorcycle ,25,3.0251443288143434
32,4.6,Meal ,motorcycle ,32,4.717601091891188
29,4.6,Drinks ,scooter ,42,10.867434751252569
34,4.7,Drinks ,motorcycle ,29,7.772523200490454
26,4.6,Buffet ,scooter ,32,10.64143695498646
31,4.0,Drinks ,motorcycle ,35,12.420692539720621
39,4.8,Drinks ,motorcycle ,27,6.081185878424965
27,4.8,Meal ,motorcycle ,15,1.5725337268149235
32,5.0,Buffet ,scooter ,27,7.683355299177809
32,4.5,Meal ,motorcycle ,30,7.568033295332029
39,4.1,Snack ,motorcycle ,32,10.564540524006501
36,4.8,Meal ,electric_scooter ,25,1.5323350117847296
37,4.1,Buffet ,motorcycle ,38,4.657133019732787
37,4.8,Meal ,scooter ,26,9.054052949690576
38,3.7,Meal ,motorcycle ,31,16.853347148168254
28,4.7,Drinks ,scooter ,28,3.0182264840849005
34,3.8,Meal ,scooter ,31,16.852118690721092
32,4.9,Buffet ,motorcycle ,29,17.074904295896932
22,4.7,Buffet ,motorcycle ,17,8.93752787333166
31,4.0,Drinks ,motorcycle ,45,13.62035716296433
27,4.0,Meal ,motorcycle ,34,12.434585524695017
29,4.9,Drinks ,scooter ,24,17.137487720466137
38,4.8,Meal ,motorcycle ,44,9.3483259365868
35,4.8,Snack ,motorcycle ,36,7.6018742264141395
31,4.9,Meal ,motorcycle ,28,4.6576549367950175
30,4.3,Drinks ,scooter ,37,13.97000798956149
24,4.9,Snack ,motorcycle ,10,9.435201537090277
33,4.8,Drinks ,motorcycle ,23,13.83005348000122
29,4.6,Meal ,motorcycle ,22,10.278596687379181
38,4.6,Snack ,scooter ,26,6.117761953268655
26,4.9,Drinks ,motorcycle ,34,9.05609596283229
39,4.8,Buffet ,scooter ,26,6.290134677517525
24,4.5,Snack ,motorcycle ,21,17.29786575292793
34,4.2,Meal ,motorcycle ,28,9.193093962937311
26,4.7,Snack ,motorcycle ,14,8.94295430815855
35,4.7,Meal ,motorcycle ,17,6.050551152852564
36,4.2,Drinks ,motorcycle ,37,4.657579589907426
24,2.6,Drinks ,motorcycle ,42,16.660108123661967
29,4.6,Snack ,motorcycle ,17,11.007734763484695
33,4.3,Meal ,motorcycle ,34,16.826241648263174
26,4.6,Buffet ,motorcycle ,25,16.78788895079916
32,5.0,Buffet ,scooter ,30,17.074256778887822
37,4.9,Meal ,motorcycle ,48,13.403654334290668
26,4.9,Drinks ,scooter ,18,20.285402098804397
31,4.8,Drinks ,scooter ,28,20.253518127528668
37,4.6,Buffet ,motorcycle ,26,13.970759660559564
26,4.7,Drinks ,scooter ,16,16.827472772762793
37,4.8,Meal ,motorcycle ,25,4.537571349626826
22,4.6,Drinks ,motorcycle ,22,20.4429297624716
21,4.4,Drinks ,motorcycle ,15,4.560926277461535
22,4.0,Snack ,motorcycle ,28,1.5524082378587014
38,4.5,Meal ,motorcycle ,20,1.5524171523809889
28,4.0,Buffet ,motorcycle ,32,6.208681983834496
29,4.7,Meal ,scooter ,17,20.4429297624716
31,4.9,Drinks ,motorcycle ,38,6.058919182045406
24,4.8,Snack ,scooter ,14,3.0405702577395113
33,4.8,Buffet ,motorcycle ,26,6.290134677517525
26,4.9,Snack ,motorcycle ,30,13.78895741536346
29,4.6,Meal ,scooter ,28,12.07437756232266
20,4.7,Snack ,scooter ,29,7.79040120385599
29,4.8,Buffet ,scooter ,12,19.7623822554444
32,4.0,Buffet ,motorcycle ,49,10.867366120052127
20,4.9,Meal ,motorcycle ,42,16.659917302430525
26,5.0,Meal ,electric_scooter ,24,10.867138302361697
38,4.8,Buffet ,motorcycle ,46,16.721157280671385
34,4.6,Meal ,electric_scooter ,27,6.17657661232436
27,4.5,Snack ,motorcycle ,13,2.979500009006309
29,5.0,Drinks ,motorcycle ,25,10.593374354235145
24,4.9,Drinks ,motorcycle ,24,19.761066328347436
21,4.9,Buffet ,motorcycle ,12,1.5125847679114428
33,4.4,Drinks ,motorcycle ,24,1.4651858120504437
35,4.7,Meal ,motorcycle ,29,9.055898607628295
35,4.7,Snack ,scooter ,18,12.464189804888846
29,4.6,Snack ,scooter ,20,17744.205087171256
29,4.6,Buffet ,motorcycle ,13,4.663432061953077
29,4.8,Drinks ,motorcycle ,23,10.707345039851985
21,4.9,Buffet ,motorcycle ,19,12.256076445537179
29,4.6,Meal ,motorcycle ,29,17.078934089514355
22,4.7,Snack ,motorcycle ,24,13.97320677286867
29,4.6,Drinks ,scooter ,27,6.217689155478114
24,4.4,Meal ,scooter ,40,11.904942935980996
23,4.9,Snack ,scooter ,22,1.5544659575924147
27,4.6,Drinks ,scooter ,12,1.5522933459562307
33,4.1,Drinks ,motorcycle ,43,12.46452805945075
35,4.6,Meal ,scooter ,26,16.902495928553144
21,4.7,Buffet ,scooter ,27,4.67431876124945
39,4.4,Meal ,motorcycle ,35,13.969606427755293
34,4.8,Drinks ,scooter ,27,7.761160094263283
29,4.9,Drinks ,motorcycle ,27,6.0813891172584045
20,4.7,Buffet ,scooter ,17,3.0597099627495252
20,4.8,Drinks ,motorcycle ,17,11.007734763484695
30,4.7,Drinks ,motorcycle ,15,9.054052949690576
37,4.7,Buffet ,scooter ,39,19.08711081431908
39,4.6,Drinks ,motorcycle ,25,4.537860441809634
26,5.0,Drinks ,motorcycle ,18,16.903843893507055
32,4.9,Meal ,motorcycle ,48,12.580267821997444
21,4.7,Drinks ,scooter ,28,13.78786023937806
35,4.8,Snack ,scooter ,29,3.1051337342224157
39,4.6,Buffet ,motorcycle ,32,4.527261449611571
39,5.0,Meal ,motorcycle ,41,20.183799025976544
27,4.9,Drinks ,motorcycle ,39,10.924204662365264
33,4.8,Drinks ,scooter ,16,4.656945386797736
33,4.8,Meal ,motorcycle ,48,19.976712110301044
37,4.7,Buffet ,motorcycle ,40,10.868263117371317
20,4.6,Drinks ,motorcycle ,11,3.1162536552604823
20,4.6,Buffet ,motorcycle ,19,12.580267821997444
31,4.2,Drinks ,scooter ,35,10.724879289834993
27,4.6,Buffet ,electric_scooter ,16,3.1161417135563956
37,4.9,Drinks ,scooter ,15,7.5734678218356475
34,4.4,Buffet ,scooter ,31,7.762944133850834
25,4.7,Snack ,motorcycle ,11,9.348114492286241
37,4.7,Meal ,motorcycle ,22,7.631511904443564
23,4.7,Meal ,scooter ,16,10.923744986016121
27,5.0,Drinks ,motorcycle ,24,6.217824017341541
36,4.7,Snack ,electric_scooter ,16,3.073618469059198
30,4.3,Snack ,motorcycle ,42,20.853653606521558
20,4.9,Drinks ,motorcycle ,31,1.5725337268149235
28,4.7,Snack ,scooter ,31,10.906379593533508
36,4.0,Buffet ,motorcycle ,33,3.1450674360287563
20,4.7,Drinks ,scooter ,16,7.761839422231013
22,4.7,Buffet ,motorcycle ,16,16.853618729835706
28,4.7,Buffet ,motorcycle ,25,17.0970739430334
34,4.8,Buffet ,electric_scooter ,18,1.5202925432301158
25,4.8,Drinks ,scooter ,26,16.660108123661967
38,5.0,Meal ,scooter ,34,7.631520637834144
34,3.5,Snack ,motorcycle ,32,11.917680463943292
24,4.9,Drinks ,motorcycle ,22,16.659979128753193
33,4.6,Snack ,motorcycle ,50,13.583086214829478
21,4.6,Snack ,scooter ,16,3.027096858145772
25,4.6,Drinks ,motorcycle ,23,9.08111643236461
23,4.9,Buffet ,motorcycle ,19,6.058848944318744
34,4.9,Snack ,motorcycle ,25,7.325299567919112
25,4.7,Snack ,scooter ,37,10.757050667154894
28,4.9,Drinks ,electric_scooter ,10,13.481328211305987
34,3.7,Buffet ,scooter ,34,16.852086415566685
24,4.5,Meal ,scooter ,14,16.381598593229207
31,5.0,Buffet ,motorcycle ,26,9.31404419332287
38,4.6,Buffet ,scooter ,30,9.176247492301016
32,4.8,Buffet ,motorcycle ,17,13.216577965768659
28,5.0,Buffet ,motorcycle ,29,13.735953711755867
29,4.5,Drinks ,motorcycle ,37,13.40600055267857
28,4.8,Drinks ,electric_scooter ,23,20.17774245116244
