Country,MilitaryStrengthPowerIndex,AircraftStrengthvalue,Fighter/InterceptorStrengthvalue,AttackAircraftStrengthvalue,TransportAircraftFleetStrengthvalue,TrainerAircraftFleetvalue,HelicopterFleetStrengthvalue,AttackHelicopterFleetStrengthvalue,TankStrengthvalue,AFV/APCStrengthvalue,Self-PropelledArtilleryStrengthvalue,TowedArtilleryStrengthvalue,RocketProjectorStrengthvalue,NavyFleetStrengthsvalue,AircraftCarrierFleetStrengthvalue,SubmarineFleetStrengthvalue,DestroyerFleetStrengthvalue,FrigateFleetStrengthvalue,defensespendingbudgetvalue,ExternalDebtvalue,AirportTotalsvalue,OilProductionvalue,OilConsumptionvalue,ProvenOilReservesvalue,AvailableManpowervalue,TotalPopulationvalue,TotalSquareLandAreavalue,TotalCoastlineCoveragevalue,TotalWaterwayCoveragevalue,TotalBorderCoveragevalue
North Macedonia,3.1808,20.0,0.0,0.0,0.0,10.0,14.0,4.0,31.0,251.0,0.0,144.0,24.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,108152512.0,8790000000.0,10.0,0.0,18500.0,0.0,1053116.0,2118945.0,25713.0,6171.3302752293575,280.0,838.0
Norway,0.5277,150.0,59.0,15.0,4.0,32.0,47.0,0.0,52.0,730.0,80.0,0.0,12.0,62.0,0.0,6.0,0.0,4.0,7179000000.0,642300000000.0,95.0,1618000.0,260000.0,6611000000.0,2170365.0,5372191.0,323802.0,25148.0,1577.0,2566.0
Oman,1.2514,131.0,29.0,10.0,9.0,46.0,42.0,0.0,117.0,761.0,39.0,144.0,12.0,16.0,0.0,0.0,0.0,0.0,8686000000.0,46270000000.0,132.0,970400.0,100000.0,5373000000.0,1764529.0,3494116.0,309500.0,2092.0,0.0,1561.0
Pakistan,0.2364,1372.0,356.0,90.0,49.0,513.0,346.0,56.0,2200.0,7330.0,429.0,1226.0,100.0,100.0,0.0,8.0,0.0,9.0,11400000000.0,82190000000.0,151.0,89720.0,575000.0,350600000.0,96344277.0,207862518.0,796095.0,1046.0,25220.0,7257.0
Panama,3.6537,39.0,0.0,0.0,11.0,4.0,23.0,0.0,0.0,65.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,500000000.0,91530000000.0,117.0,0.0,100000.0,0.0,1759698.0,3800644.0,75420.0,2490.0,800.0,687.0
Paraguay,2.1898,33.0,0.0,0.0,6.0,15.0,11.0,0.0,13.0,63.0,0.0,108.0,0.0,40.0,0.0,0.0,0.0,0.0,250000000.0,17700000000.0,799.0,0.0,30000.0,0.0,3372366.0,7025763.0,406752.0,6171.3302752293575,3100.0,4655.0
Peru,0.6219,273.0,17.0,38.0,40.0,77.0,99.0,16.0,146.0,552.0,24.0,231.0,70.0,60.0,0.0,5.0,0.0,7.0,2560000000.0,66250000000.0,191.0,43520.0,210000.0,473000000.0,15352302.0,31331228.0,1285216.0,2414.0,8808.0,7062.0
Philippines,0.7852,171.0,0.0,19.0,23.0,24.0,97.0,0.0,7.0,513.0,0.0,286.0,0.0,103.0,0.0,0.0,0.0,2.0,3470000000.0,76180000000.0,247.0,15000.0,320000.0,138500000.0,51887757.0,105893381.0,300000.0,36289.0,3219.0,3964.2248062015506
Poland,0.3397,457.0,91.0,0.0,49.0,104.0,176.0,30.0,1069.0,2547.0,547.0,0.0,180.0,87.0,0.0,3.0,0.0,2.0,12000000000.0,241000000000.0,126.0,20070.0,585000.0,137800000.0,18826137.0,38420687.0,312685.0,440.0,3997.0,2845.0
Portugal,0.8612,90.0,24.0,0.0,11.0,18.0,23.0,0.0,133.0,756.0,18.0,61.0,0.0,41.0,0.0,2.0,0.0,5.0,3358000000.0,449000000000.0,64.0,0.0,265000.0,0.0,4804949.0,10355493.0,92090.0,1793.0,210.0,1224.0
Qatar,1.6703,123.0,24.0,6.0,12.0,35.0,46.0,3.0,92.0,250.0,46.0,12.0,15.0,86.0,0.0,0.0,0.0,0.0,6000000000.0,167800000000.0,6.0,1500000.0,190000.0,25240000000.0,612164.0,2363569.0,11586.0,563.0,0.0,87.0
Republic of the Congo,2.9509,13.0,2.0,0.0,3.0,0.0,8.0,1.0,86.0,225.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,715000000.0,4605000000.0,27.0,244200.0,185000.0,1600000000.0,1938754.0,5062021.0,342000.0,169.0,1120.0,5008.0
Romania,0.6177,143.0,26.0,0.0,12.0,41.0,62.0,0.0,943.0,1369.0,0.0,808.0,243.0,48.0,0.0,0.0,0.0,3.0,5050000000.0,95970000000.0,45.0,73740.0,240000.0,600000000.0,11007501.0,21457116.0,238391.0,225.0,1731.0,2844.0
Russia,0.0681,4163.0,873.0,742.0,424.0,497.0,1522.0,531.0,12950.0,27038.0,6083.0,4465.0,3860.0,603.0,1.0,62.0,16.0,10.0,48000000000.0,539600000000.0,1218.0,10580000.0,3225000.0,80000000000.0,69640160.0,142122776.0,17098242.0,37653.0,102000.0,22408.0
Saudi Arabia,0.3034,879.0,270.0,81.0,49.0,208.0,283.0,34.0,1062.0,12825.0,705.0,1818.0,122.0,55.0,0.0,0.0,0.0,3.0,67600000000.0,205100000000.0,214.0,10130000.0,4000000.0,266500000000.0,17703745.0,33091113.0,2149690.0,2640.0,0.0,4272.0
Serbia,0.9479,109.0,9.0,17.0,1.0,38.0,44.0,0.0,293.0,904.0,87.0,144.0,88.0,19.0,0.0,0.0,0.0,0.0,907000000.0,29500000000.0,26.0,18740.0,75000.0,77500000.0,3468274.0,7078110.0,77474.0,6171.3302752293575,587.0,2322.0
Sierra Leone,4.2063,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,75500000.0,1615000000.0,8.0,0.0,9500.0,0.0,1432872.0,6312212.0,71740.0,402.0,800.0,1093.0
Singapore,0.7966,235.0,100.0,0.0,9.0,36.0,77.0,17.0,180.0,3000.0,48.0,77.0,24.0,40.0,0.0,0.0,0.0,6.0,11200000000.0,566100000000.0,9.0,0.0,1340000.0,0.0,4017314.0,5995991.0,697.0,193.0,10.0,3964.2248062015506
Slovakia,0.8466,47.0,10.0,0.0,7.0,8.0,21.0,0.0,20.0,661.0,16.0,9.0,25.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,2121817575.0,75040000000.0,35.0,200.0,82000.0,9000000.0,2776970.0,5445040.0,49035.0,6171.3302752293575,172.0,1587.0
Slovenia,1.9496,38.0,0.0,0.0,3.0,23.0,16.0,0.0,44.0,269.0,0.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,581000000.0,46300000000.0,16.0,5.0,55000.0,0.0,1002714.0,2102126.0,20273.0,47.0,0.0,1211.0
Somalia,4.6404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,30.0,10.0,3.0,0.0,0.0,0.0,0.0,62200000.0,5300000000.0,61.0,0.0,6200.0,0.0,2702167.0,11259029.0,637657.0,3025.0,0.0,2385.0
South Africa,0.4985,226.0,17.0,0.0,23.0,88.0,91.0,12.0,195.0,2000.0,43.0,72.0,50.0,30.0,0.0,3.0,0.0,4.0,4278000000.0,156300000000.0,566.0,2000.0,605000.0,15000000.0,26250220.0,55380210.0,1219090.0,2798.0,0.0,5244.0
South Korea,0.1509,1649.0,414.0,71.0,41.0,298.0,803.0,112.0,2614.0,14000.0,3040.0,3854.0,575.0,234.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,44000000000.0,384600000000.0,111.0,0.0,2800000.0,0.0,25709049.0,51418097.0,99720.0,2413.0,1600.0,237.0
South Sudan,2.3501,19.0,0.0,0.0,2.0,0.0,17.0,6.0,110.0,200.0,24.0,0.0,14.0,0.0,2.0,22.0,12.0,18.0,80000000.0,2250000000.0,85.0,150200.0,60000.0,3750000000.0,5245155.0,10204581.0,644329.0,6171.3302752293575,0.0,6018.0
Spain,0.3388,512.0,137.0,12.0,46.0,162.0,162.0,19.0,327.0,2023.0,95.0,140.0,0.0,77.0,1.0,3.0,0.0,11.0,15100000000.0,2094000000000.0,150.0,2252.0,1226000.0,150000000.0,23136275.0,49331076.0,505370.0,4964.0,1000.0,1953.0
Sri Lanka,1.4661,77.0,0.0,0.0,15.0,6.0,54.0,9.0,202.0,570.0,0.0,209.0,22.0,40.0,0.0,0.0,0.0,0.0,2500000000.0,51720000000.0,19.0,0.0,90000.0,0.0,10927071.0,22576592.0,65610.0,1340.0,160.0,3964.2248062015506
Sudan,1.3017,190.0,46.0,38.0,22.0,11.0,73.0,43.0,690.0,400.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2470000000.0,56050000000.0,74.0,102300.0,96800.0,5000000000.0,24061430.0,43120843.0,1861484.0,853.0,1723.0,6819.0
Suriname,4.6042,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63000000.0,1700000000.0,55.0,17000.0,15100.0,83980000.0,132740.0,597927.0,163820.0,386.0,1200.0,1907.0
Sweden,0.5304,204.0,71.0,0.0,6.0,69.0,53.0,0.0,126.0,1036.0,88.0,0.0,0.0,63.0,0.0,5.0,0.0,0.0,6326923600.0,939900000000.0,231.0,0.0,320000.0,0.0,4116808.0,10040995.0,450295.0,3218.0,2052.0,2211.0
Switzerland,0.5259,169.0,54.0,0.0,18.0,54.0,42.0,0.0,326.0,1338.0,224.0,0.0,0.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,5000000000.0,1664000000000.0,63.0,0.0,260000.0,0.0,3632250.0,8292809.0,41277.0,6171.3302752293575,1299.0,1770.0
Syria,0.8241,456.0,199.0,20.0,5.0,67.0,165.0,27.0,4135.0,5370.0,575.0,2550.0,750.0,56.0,0.0,0.0,0.0,2.0,1800000000.0,4989000000.0,90.0,14000.0,260000.0,2500000000.0,12450728.0,19454263.0,185180.0,193.0,900.0,2363.0
Taiwan,0.4008,744.0,289.0,0.0,19.0,207.0,210.0,91.0,1180.0,2000.0,482.0,1160.0,115.0,117.0,0.0,4.0,4.0,22.0,10725000000.0,181900000000.0,37.0,196.0,1032000.0,2380000.0,12196809.0,23545963.0,35980.0,1566.0,3720.0,3964.2248062015506
Tajikistan,1.8661,25.0,0.0,0.0,1.0,4.0,20.0,6.0,253.0,347.0,0.0,90.0,128.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,1600000000.0,5750000000.0,24.0,180.0,20500.0,12000000.0,4095924.0,8604882.0,143100.0,6171.3302752293575,200.0,4130.0
Tanzania,2.0651,34.0,14.0,0.0,6.0,8.0,6.0,0.0,156.0,70.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,223000000.0,17660000000.0,166.0,0.0,46000.0,0.0,10258498.0,55451343.0,947300.0,1424.0,0.0,4161.0
Thailand,0.3571,570.0,75.0,19.0,48.0,154.0,307.0,7.0,841.0,1416.0,20.0,776.0,25.0,292.0,1.0,0.0,0.0,7.0,7100000000.0,132000000000.0,101.0,239700.0,1345000.0,396400000.0,35543014.0,68615858.0,513120.0,3219.0,4000.0,5673.0
Tunisia,1.4619,147.0,12.0,0.0,14.0,29.0,92.0,0.0,181.0,878.0,20.0,165.0,0.0,50.0,0.0,0.0,0.0,0.0,550000000.0,30190000000.0,29.0,49170.0,90500.0,425000000.0,5850224.0,11516189.0,163610.0,1148.0,0.0,1495.0
Turkey,0.2098,1055.0,206.0,0.0,80.0,276.0,497.0,100.0,2622.0,8777.0,1278.0,1260.0,438.0,149.0,0.0,12.0,0.0,16.0,19000000000.0,452400000000.0,98.0,245000.0,845000.0,388500000.0,41847478.0,81257239.0,783562.0,7200.0,1200.0,2816.0
Turkmenistan,1.3292,72.0,24.0,20.0,3.0,0.0,25.0,10.0,712.0,2000.0,68.0,269.0,116.0,4.0,0.0,0.0,0.0,0.0,200000000.0,539400000.0,26.0,230880.0,150000.0,600000000.0,2797493.0,5411012.0,488100.0,1768.0,1300.0,4158.0
Uganda,1.6176,48.0,10.0,0.0,2.0,10.0,26.0,5.0,371.0,1081.0,6.0,53.0,26.0,8.0,0.0,0.0,0.0,0.0,935000000.0,10800000000.0,47.0,0.0,17500.0,2500000000.0,14707350.0,40853749.0,241038.0,6171.3302752293575,0.0,2729.0
Ukraine,0.4457,297.0,48.0,25.0,32.0,76.0,121.0,34.0,2026.0,10135.0,738.0,2040.0,430.0,25.0,0.0,0.0,0.0,1.0,5400000000.0,130000000000.0,187.0,29650.0,325000.0,395000000.0,22195911.0,43952299.0,603550.0,2782.0,2150.0,5618.0
United Arab Emirates,0.7034,538.0,98.0,20.0,40.0,145.0,229.0,30.0,434.0,8691.0,183.0,76.0,72.0,75.0,0.0,0.0,0.0,0.0,22755000000.0,237600000000.0,43.0,3174000.0,575000.0,97800000000.0,5820789.0,9701315.0,83600.0,1318.0,0.0,1066.0
United Kingdom,0.1717,733.0,133.0,15.0,44.0,241.0,312.0,49.0,227.0,5000.0,89.0,126.0,35.0,88.0,2.0,10.0,6.0,13.0,55100000000.0,8126000000000.0,460.0,910500.0,1600000.0,2564000000.0,29948413.0,65105246.0,243610.0,12429.0,3200.0,443.0
United States,0.0606,13264.0,2085.0,715.0,945.0,2643.0,5768.0,967.0,6289.0,39253.0,1465.0,2740.0,1366.0,490.0,20.0,66.0,91.0,0.0,750000000000.0,17910000000000.0,13513.0,9352000.0,20000000.0,36520000000.0,144872845.0,329256465.0,9826675.0,19924.0,41009.0,12048.0
Uruguay,1.8909,50.0,0.0,7.0,9.0,16.0,13.0,0.0,78.0,463.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,4950000000.0,28370000000.0,133.0,0.0,55600.0,0.0,1549878.0,3369299.0,176215.0,660.0,1600.0,1591.0
Uzbekistan,0.8086,185.0,66.0,20.0,18.0,2.0,79.0,25.0,420.0,1215.0,137.0,0.0,98.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,975000000.0,16900000000.0,53.0,46070.0,142000.0,594000000.0,15912566.0,30023709.0,447400.0,420.0,1100.0,6893.0
Venezuela,0.6449,260.0,38.0,0.0,52.0,82.0,86.0,10.0,390.0,600.0,73.0,104.0,36.0,49.0,0.0,2.0,0.0,4.0,745000000.0,100300000000.0,444.0,2007000.0,575000.0,300900000000.0,14260129.0,31689176.0,912050.0,2800.0,7100.0,5267.0
Vietnam,0.3559,293.0,77.0,0.0,38.0,36.0,138.0,25.0,2615.0,2530.0,70.0,1000.0,85.0,65.0,0.0,6.0,0.0,9.0,5500000000.0,96580000000.0,45.0,271400.0,525000.0,4400000000.0,51043216.0,97040334.0,331210.0,3444.0,17702.0,4616.0
Yemen,1.2412,169.0,77.0,0.0,8.0,21.0,61.0,14.0,620.0,615.0,20.0,85.0,150.0,30.0,0.0,0.0,0.0,0.0,1400000000.0,7068000000.0,57.0,12260.0,145000.0,3000000000.0,11266221.0,28667230.0,527968.0,1906.0,0.0,1601.0
Zambia,1.6464,108.0,18.0,0.0,11.0,52.0,27.0,0.0,75.0,184.0,0.0,42.0,50.0,0.0,0.0,0.0,0.0,0.0,40000000.0,11660000000.0,88.0,0.0,21000.0,0.0,6166905.0,16445079.0,752618.0,6171.3302752293575,2250.0,6043.0
Zimbabwe,1.7577,90.0,10.0,0.0,14.0,38.0,28.0,6.0,42.0,300.0,0.0,65.0,22.0,0.0,0.0,0.0,0.0,0.0,100000000.0,9357000000.0,196.0,0.0,19500.0,0.0,5584086.0,14030368.0,390757.0,6171.3302752293575,0.0,3229.0
